"","Name","Hospital.Type","Address","Address_2","City","State","Zipcode","County","Latitude","Longitude","Staffed.All.Beds","Staffed.ICU.Beds","Licensed.All.Beds","All.Bed.Occupancy.Rate","ICU.Bed.Occupancy.Rate","Staffed.All.Beds...SOURCE","Staffed.ICU.Beds...SOURCE","Licensed.All.Beds...SOURCE","All.Bed.Occupancy.Rate...SOURCE","ICU.Bed.Occupancy.Rate...SOURCE","CCM_ID","DH.ID","HCRIS.ID","HIFLD.ID"
"4876","MEMORIAL HOSPITAL OF TEXAS COUNTY AUTHORITY","GENERAL ACUTE CARE","520 MEDICAL DRIVE","","GUYMON","OK",73942,"TEXAS",36.6909724120001,-101.475994626,25,NA,33,0.17,NA,"HCRIS-Total Staffed Beds","None","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",4973942,3118,371340,4973942
"4877","CHRISTUS DUBUIS HOSPITAL OF BEAUMONT","LONG TERM CARE","2830 CALDER AVENUE, 4TH FLOOR","4th Floor","BEAUMONT","TX",77702,"JEFFERSON",30.0872567700001,-94.132927864,370,39,370,0.51,0.78,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","HCRIS-Total Staffed Beds","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",4977702,5131,450034,4977702
"4878","COGDELL MEMORIAL HOSPITAL","GENERAL ACUTE CARE","1700 COGDELL BOULEVARD","","SNYDER","TX",79549,"SCURRY",32.6879322800001,-100.917092535,25,NA,25,0.29,NA,"HCRIS-Total Staffed Beds","None","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",49779549,3793,451384,49779549
"4879","BLUE MOUNTAIN HOSPITAL","CRITICAL ACCESS","170 FORD ROAD","","JOHN DAY","OR",97845,"GRANT",44.417112715,-118.959691481,14,NA,25,0.41,NA,"HCRIS-Total Staffed Beds","None","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",497845,3148,381305,497845
"4880","THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL","REHABILITATION","390 40TH STREET","","OAKLAND","CA",94609,"ALAMEDA",37.828739339,-122.259307148,NA,NA,50,NA,NA,"None","None","HIFLD-BEDS","None","None",49794609,NA,NA,49794609
"4881","CENTURA HEALTH-ST FRANCIS MEDICAL CENTER","GENERAL ACUTE CARE","6001 E WOODMEN ROAD","","COLORADO SPRINGS","CO",80923,"EL PASO",38.9386391090001,-104.717481996,NA,NA,195,NA,NA,"None","None","HIFLD-BEDS","None","None",4980923,NA,NA,4980923
"4882","US AIR FORCE HOSPITAL 92ND MEDICAL GROUP","MILITARY","701 HOSPITAL LOOP","","FAIRCHILD AIR FORCE","WA",98438,"SPOKANE",47.639416044,-117.645275273,NA,NA,48,NA,NA,"None","None","HIFLD-BEDS","None","None",498438,NA,NA,498438
"4883","DIXIE REGIONAL MEDICAL CENTER - RIVER ROAD CAMPUS","GENERAL ACUTE CARE","1380 EAST MEDICAL CENTER DRIVE","","SAINT GEORGE","UT",84790,"WASHINGTON",37.097766939,-113.553742817,246,32,246,0.62,0.52,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","HCRIS-Total Staffed Beds","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",4984790,3900,460021,4984790
"4884","WHITERIVER INDIAN HOSPITAL","CRITICAL ACCESS","HWY 73 MILE POST 342","","WHITERIVER","AZ",85941,"NAVAJO",33.8765740470001,-109.959848418,40,NA,40,0.25,NA,"HCRIS-Total Staffed Beds","None","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",4985941,176,30113,4985941
"4885","ALTA VISTA REGIONAL HOSPITAL","GENERAL ACUTE CARE","104 LEGION DRIVE","","LAS VEGAS","NM",87701,"SAN MIGUEL",35.62344426,-105.210872586,46,8,54,0.195354,NA,"DH-NUM_STAFFE","DH-NUM_ICU_BE","DH-NUM_LICENS","DH-BED_UTILIZ","None",4987701,2564,NA,4987701
"4886","HANSFORD COUNTY HOSPITAL","GENERAL ACUTE CARE","707 SOUTH ROLAND STREET","","SPEARMAN","TX",79081,"HANSFORD",36.190276774,-101.19961405,14,NA,14,0.17,NA,"HCRIS-Total Staffed Beds","None","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",49879081,3683,451344,49879081
"4887","TOM REDGATE MEMORIAL RECOVERY CENTER","REHABILITATION","1775 CHESTNUT STREET","","LONG BEACH","CA",90813,"LOS ANGELES",33.789367521,-118.196646474,NA,NA,63,NA,NA,"None","None","HIFLD-BEDS","None","None",49890813,NA,NA,49890813
"4888","MOUNT GRANT GENERAL HOSPITAL","CRITICAL ACCESS","FIRST AND 'A' STREET","PO BOX 1510","HAWTHORNE","NV",89415,"MINERAL",38.5170034610001,-118.62738978,11,NA,35,0.6209216,NA,"DH-NUM_STAFFE","None","DH-NUM_LICENS","DH-BED_UTILIZ","None",4989415,4985,NA,4989415
"4889","SANTIAM HOSPITAL","GENERAL ACUTE CARE","1401 N 10TH AVENUE","","STAYTON","OR",97383,"MARION",44.8051102530001,-122.784762587,40,4,40,0.21,0.29,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",4997383,3168,380056,4997383
"4890","BAYLOR SCOTT & WHITE SURGICAL HOSPITAL AT SHERMAN","GENERAL ACUTE CARE","3601 NORTH CALAIS STREET","","SHERMAN","TX",75090,"GRAYSON",33.676635348,-96.6018522089999,12,NA,12,0.26,NA,"HCRIS-Total Staffed Beds","None","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",49975090,5877,670076,49975090
"4891","GRAYS HARBOR COMMUNITY HOSPITAL - EAST","GENERAL ACUTE CARE","1006 N H STREET","","ABERDEEN","WA",98520,"GRAYS HARBOR",46.981262401,-123.820558586,NA,NA,NA,NA,NA,"None","None","","None","None",4998520,NA,NA,4998520
"4892","PEACEHEALTH KETCHIKAN MEDICAL CENTER","CRITICAL ACCESS","3100 TONGASS AVENUE","","KETCHIKAN","AK",99901,"KETCHIKAN GATEWAY",55.3537186890001,-131.685788419,25,4,25,0.42,0.31,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",499901,114,21311,499901
"4893","TORRANCE MEMORIAL MEDICAL CENTER","GENERAL ACUTE CARE","3330 WEST LOMITA BOULEVARD","","TORRANCE","CA",90505,"LOS ANGELES",33.811754222,-118.344292925,472,56,570,0.63,0.63,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",49990505,357,50351,49990505
"4894","ST LUKE'S BAPTIST HOSPITAL","GENERAL ACUTE CARE","7930 FLOYD CURL DR","","SAN ANTONIO","TX",78229,"BEXAR",29.5125494050001,-98.574910873,NA,NA,282,NA,NA,"None","None","HIFLD-BEDS","None","None",50,NA,NA,50
"4895","BAPTIST HEALTH MEDICAL CENTER - NORTH LITTLE ROCK","GENERAL ACUTE CARE","3333 SPRINGHILL DRIVE","","LITTLE ROCK","AR",72117,"PULASKI",34.7836548870001,-92.223409163,177,34,225,0.64,0.79,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",5000000,239,40036,5000000
"4896","SAN JORGE CHILDRENS HOSPITAL","CHILDREN","252 SAN JORGE STREET SANTURCE","","SAN JUAN","PR",914,"SAN JUAN",18.4471351,-66.062936022,NA,NA,125,NA,NA,"None","None","HIFLD-BEDS","None","None",5000914,NA,NA,5000914
"4897","BAYSTATE MARY LANE HOSPITAL","GENERAL ACUTE CARE","85 SOUTH STREET","","WARE","MA",1082,"HAMPSHIRE",42.2536,-72.2428,NA,NA,25,NA,NA,"None","None","HIFLD-BEDS","None","None",5001082,NA,NA,5001082
"4898","DOCTORS CENTER HOSPITAL- MANATI","GENERAL ACUTE CARE","KM 47-7","","MANATI","PR",674,"MANATI",18.433674763,-66.473968192,109,6,262,0.7,0.81,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",500674,4290,400132,500674
"4899","ATRIUM MEDICAL CENTER","LONG TERM CARE","11929  WEST AIRPORT BOULEVARD","","STAFFORD","TX",77477,"FORT BEND",29.6468475090001,-95.588277013,68,0,68,0.247945205479452,0,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",50077477,4352,452114,50077477
"4900","TRI-CITY MEDICAL CENTER","GENERAL ACUTE CARE","4002 VISTA WAY","","OCEANSIDE","CA",92056,"SAN DIEGO",33.1856203950001,-117.290267305,290,28,368,0.52,0.55,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",50092056,491,50128,50092056
"4901","HIGHLAND HOSPITAL","GENERAL ACUTE CARE","1000 SOUTH AVE","","ROCHESTER","NY",14620,"MONROE",43.135291204,-77.6059964499999,235,14,261,1.03,0.84,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",5014620,2632,330164,5014620
"4902","SWEENY COMMUNITY HOSPITAL","CRITICAL ACCESS","305 NORTH MCKINNEY STREET","","SWEENY","TX",77480,"BRAZORIA",29.047834668,-95.6918314069999,14,NA,20,0.19,NA,"HCRIS-Total Staffed Beds","None","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",50177480,4958,451311,50177480
"4903","FOUNDATIONS BEHAVIORAL HEALTH","PSYCHIATRIC","833 EAST BUTLER AVENUE","","DOYLESTOWN","PA",18901,"BUCKS",40.300954,-75.155285001,NA,NA,60,NA,NA,"None","None","DH-NUM_LICENS","None","None",5018901,5424,NA,5018901
"4904","GARDENS REGIONAL HOSPITAL AND MEDICAL CENTER","GENERAL ACUTE CARE","21530 SOUTH PIONEER BOULEVARD","","HAWAIIAN GARDENS","CA",90716,"LOS ANGELES",33.833640007,-118.079677951,NA,NA,107,NA,NA,"None","None","HIFLD-BEDS","None","None",50190716,NA,NA,50190716
"4905","MEDSTAR FRANKLIN SQUARE MEDICAL CENTER","GENERAL ACUTE CARE","9000 FRANKLIN SQUARE DR","","BALTIMORE","MD",21237,"BALTIMORE",39.3507893990001,-76.479906714,347,26,347,0.75,1.56,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","HCRIS-Total Staffed Beds","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",5021237,1754,210015,5021237
"4906","BETH ISRAEL DEACONESS MEDICAL CENTER - EAST CAMPUS","GENERAL ACUTE CARE","330 BROOKLINE AVENUE","","BOSTON","MA",2215,"SUFFOLK",42.3395,-71.1051,679,77,679,0.9,0.86,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","HCRIS-Total Staffed Beds","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",502215,1832,220086,502215
"4907","SALEM VA MEDICAL CENTER","MILITARY","1970 ROANOKE BOULEVARD","","SALEM","VA",24153,"SALEM",37.273960387,-80.018445275,NA,NA,288,NA,NA,"None","None","HIFLD-BEDS","None","None",5024153,3994,NA,5024153
"4908","WILLIAM R SHARPE JR HOSPITAL","PSYCHIATRIC","936 SHARPE HOSPITAL ROAD","","WESTON","WV",26452,"LEWIS",39.04114927,-80.496304267,150,NA,150,0.9327306,NA,"DH-NUM_STAFFE","None","DH-NUM_LICENS","DH-BED_UTILIZ","None",5026452,5117,NA,5026452
"4909","MEMORIAL HERMANN SUGAR LAND","GENERAL ACUTE CARE","17500 WEST GRAND PARKWAY SOUTH","","SUGAR LAND","TX",77479,"FORT BEND",29.564402204,-95.6903726909999,145,14,179,0.54,0.72,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",50277479,3664,450848,50277479
"4910","CATAWBA VALLEY MEDICAL CENTER","GENERAL ACUTE CARE","810 FAIRGROVE CHURCH ROAD","","HICKORY","NC",28602,"CATAWBA",35.7138555700001,-81.267341913,200,28,258,0.52,0.48,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",5028602,2756,340143,5028602
"4911","WESTERLY HOSPITAL","GENERAL ACUTE CARE","25 WELLS ST","","WESTERLY","RI",2891,"WASHINGTON",41.3621890750001,-71.825303241,75,9,125,0.39,0.53,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",502891,3353,410013,502891
"4912","GILLIAM PSYCHIATRIC HOSPITAL","PSYCHIATRIC","4344 BROAD RIVER RD","","COLUMBIA","SC",29210,"RICHLAND",34.0701263400001,-81.0985722309999,NA,NA,87,NA,NA,"None","None","HIFLD-BEDS","None","None",5029210,NA,NA,5029210
"4913","TRINITY HOSPITAL","GENERAL ACUTE CARE","60 B EASTER AVENUE","","WEAVERVILLE","CA",96093,"TRINITY",40.7380835070001,-122.939656929,25,NA,25,0.23,NA,"HCRIS-Total Staffed Beds","None","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",50296093,570,51315,50296093
"4914","ST JOSEPH HOSPITAL MILFORD MED CTR","GENERAL ACUTE CARE","442 NASHUA ROAD","","MILFORD","NH",3055,"HILLSBOROUGH",42.829012903,-71.6337901749999,NA,NA,NA,NA,NA,"None","None","","None","None",503055,NA,NA,503055
"4915","CALHOUN-LIBERTY HOSPITAL","GENERAL ACUTE CARE","20370 NE BURNS AVE","","BLOUNTSTOWN","FL",32424,"CALHOUN",30.4586228320001,-85.05010386,15,NA,25,0.5,NA,"HCRIS-Total Staffed Beds","None","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",5032424,4873,101304,5032424
"4916","EAMC - LANIER","GENERAL ACUTE CARE","4800 48TH STREET","","VALLEY","AL",36854,"CHAMBERS",32.8245981120001,-85.168702674,NA,NA,115,NA,NA,"None","None","DH-NUM_LICENS","None","None",5036854,28,NA,5036854
"4917","SETON SMITHVILLE REGIONAL HOSPITAL","GENERAL ACUTE CARE","1201 HILL ROAD","","SMITHVILLE","TX",78957,"BASTROP",30.003900758,-97.136040432,8,NA,8,0.193151,NA,"DH-NUM_STAFFE","None","DH-NUM_LICENS","DH-BED_UTILIZ","None",50378957,3562,NA,50378957
"4918","LAUDERDALE COMMUNITY HOSPITAL","CRITICAL ACCESS","326 ASBURY AVENUE","","RIPLEY","TN",38063,"LAUDERDALE",35.744352517,-89.5496351899999,25,NA,25,0.19,NA,"HCRIS-Total Staffed Beds","None","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",5038063,3510,441314,5038063
"4919","TULARE REGIONAL MEDICAL CENTER","GENERAL ACUTE CARE","869 CHERRY AVENUE","","TULARE","CA",93274,"TULARE",36.2211957590001,-119.338660847,108,14,108,0.085227,NA,"DH-NUM_STAFFE","DH-NUM_ICU_BE","DH-NUM_LICENS","DH-BED_UTILIZ","None",50393274,572,NA,50393274
"4920","LAWRENCE COUNTY HOSPITAL","CRITICAL ACCESS","1065 EAST BROAD STREET","","MONTICELLO","MS",39654,"LAWRENCE",31.554070363,-90.0998427009999,25,NA,25,0.26,NA,"HCRIS-Total Staffed Beds","None","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",5039654,2135,251305,5039654
"4921","LOGAN MEMORIAL HOSPITAL","GENERAL ACUTE CARE","1625 NASHVILLE STREET","","RUSSELLVILLE","KY",42276,"LOGAN",36.8157100060001,-86.881501633,75,6,75,0.1,0.13,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",5042276,1584,180066,5042276
"4922","LILLIAN M. HUDSPETH MEMORIAL HOSPITAL","CRITICAL ACCESS","308 HUDSPETH DRIVE","","SONORA","TX",76950,"SUTTON",30.5634092760001,-100.634435948,12,NA,12,0.1002283,NA,"DH-NUM_STAFFE","None","DH-NUM_LICENS","DH-BED_UTILIZ","None",50476950,4905,NA,50476950
"4923","HAMILTON CENTER INC","PSYCHIATRIC","620 8TH AVE","","TERRE HAUTE","IN",47804,"VIGO",39.485410862,-87.409983622,16,0,16,0.943664383561644,0,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",5047804,4816,154009,5047804
"4924","HURON MEDICAL CENTER","GENERAL ACUTE CARE","1100 SOUTH VAN DYKE ROAD","","BAD AXE","MI",48413,"HURON",43.803210312,-83.032129183,58,4,58,0.19,0.23,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",5048413,1882,230118,5048413
"4925","TWIN CITIES COMMUNITY HOSPITAL","GENERAL ACUTE CARE","1100 LAS TABLAS ROAD","","TEMPLETON","CA",93465,"SAN LUIS OBISPO",35.555237886,-120.719588434,122,18,122,0.4,0.16,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",50493465,518,50633,50493465
"4926","REGIONAL MEDICAL CENTER","GENERAL ACUTE CARE","709 WEST MAIN STREET","","MANCHESTER","IA",52057,"DELAWARE",42.48498867,-91.4666245179999,25,NA,25,0.3,NA,"HCRIS-Total Staffed Beds","None","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",5052057,1339,161343,5052057
"4927","MILE BLUFF MEDICAL CENTER INC","GENERAL ACUTE CARE","1050 DIVISION ST","","MAUSTON","WI",53948,"JUNEAU",43.782835447,-90.075155868,40,NA,40,0.19,NA,"HCRIS-Total Staffed Beds","None","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",5053948,4161,520109,5053948
"4928","THE UNIVERSITY OF VERMONT MEDICAL CENTER","GENERAL ACUTE CARE","111 COLCHESTER AVE","","BURLINGTON","VT",5401,"CHITTENDEN",44.4797397230001,-73.194120576,415,46,562,0.76,0.65,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",505401,3906,470003,505401
"4929","MAYO CLINIC HEALTH SYS FAIRMNT","GENERAL ACUTE CARE","800 MEDICAL CTR DRIVE, PO 800","","FAIRMONT","MN",56031,"MARTIN",43.6388014610001,-94.450436999,55,NA,57,0.24,NA,"HCRIS-Total Staffed Beds","None","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",5056031,2033,240166,5056031
"4930","SAME DAY SURGERY CENTER LIMITED LIABILITY PARTNERSHIP","SPECIAL","651 CATHEDRAL DRIVE","","RAPID CITY","SD",57701,"PENNINGTON",44.058686322,-103.228871274,6,NA,6,0.06,NA,"HCRIS-Total Staffed Beds","None","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",5057701,3445,430093,5057701
"4931","STAMFORD MEMORIAL HOSPITAL","GENERAL ACUTE CARE","1601 COLUMBIA STREET","","STAMFORD","TX",79553,"JONES",32.927845807,-99.78329501,12,0,25,0.0469298245614035,0,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","HIFLD-BEDS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",50579553,NA,450306,50579553
"4932","NORTH DAKOTA STATE HOSPITAL","PSYCHIATRIC","2605 CIRCLE DR","","JAMESTOWN","ND",58402,"STUTSMAN",46.8843327650001,-98.6847485309999,106,NA,140,0.8285604,NA,"DH-NUM_STAFFE","None","DH-NUM_LICENS","DH-BED_UTILIZ","None",5058402,5400,NA,5058402
"4933","UCSD-LA JOLLA, JOHN M & SALLY B. THORNTON HOSPITAL","GENERAL ACUTE CARE","9300 CAMPUS POINT DRIVE","","LA JOLLA","CA",92037,"SAN DIEGO",32.8780233140001,-117.225598865,NA,NA,173,NA,NA,"None","None","HIFLD-BEDS","None","None",50592037,NA,NA,50592037
"4934","BENEFIS HEALTH CARE (EAST CAMPUS)","GENERAL ACUTE CARE","1101 26TH ST S","","GREAT FALLS","MT",59405,"CASCADE",47.491601164,-111.260967555,312,20,530,0.37,0.72,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",5059405,2281,270012,5059405
"4935","MORRIS HOSPITAL & HEALTHCARE CENTERS","GENERAL ACUTE CARE","150 W HIGH ST","","MORRIS","IL",60450,"GRUNDY",41.3693259020001,-88.426753306,89,8,89,0.46,0.89,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",5060450,1096,140101,5060450
"4936","UNIVERSITY OF MISSOURI HEALTH CARE","GENERAL ACUTE CARE","ONE HOSPITAL DRIVE","","COLUMBIA","MO",65212,"BOONE",38.9383836580001,-92.328178114,530,82,530,0.71,0.76,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",5065212,5593,260141,5065212
"4937","HARPER HOSPITAL DISTRICT NO 5","CRITICAL ACCESS","700 WEST 13TH","","HARPER","KS",67058,"HARPER",37.283989122,-98.032926244,NA,NA,25,NA,NA,"None","None","HIFLD-BEDS","None","None",5067058,NA,NA,5067058
"4938","WATERBURY HOSPITAL","GENERAL ACUTE CARE","64 ROBBINS ST","","WATERBURY","CT",6721,"NEW HAVEN",41.5597588460001,-73.058705204,213,20,213,0.57,0.64,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",506721,676,70005,506721
"4939","HOUSTON METHODIST SUGAR LAND HOSPITAL","GENERAL ACUTE CARE","16655 SOUTHWEST FREEWAY","","SUGAR LAND","TX",77479,"FORT BEND",29.589586155,-95.6301655979999,347,48,347,0.64,0.5,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","HCRIS-Total Staffed Beds","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",50677479,3666,450820,50677479
"4940","CHILDREN'S HOSPITAL & MEDICAL CENTER","CHILDREN","8200 DODGE ST","","OMAHA","NE",68114,"DOUGLAS",41.2609364840001,-96.042255907,140,59,145,0.72,0.83,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",5068114,2357,283301,5068114
"4941","UCSF MEDICAL CENTER","GENERAL ACUTE CARE","505 PARNASSUS AVENUE","","SAN FRANCISCO","CA",94122,"SAN FRANCISCO",37.763076851,-122.457877178,785,132,785,0.84,0.7,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","HCRIS-Total Staffed Beds","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",50694122,NA,50454,50694122
"4942","MERCY HOSPITAL EL RENO, INC","GENERAL ACUTE CARE","2115 PARKVIEW DRIVE","","EL RENO","OK",73036,"CANADIAN",35.52993164,-97.980557531,48,0,48,0.0168715846994536,0,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","HIFLD-BEDS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",5073036,NA,370011,5073036
"4943","KINDRED HOSPITAL NEW JERSEY AT WAYNE HOSPITAL","GENERAL ACUTE CARE","224 HAMBURG TURNPIKE","","WAYNE","NJ",7470,"PASSAIC",40.946713092,-74.203243006,NA,NA,38,NA,NA,"None","None","HIFLD-BEDS","None","None",507470,NA,NA,507470
"4944","BAYLOR SCOTT & WHITE MCLANE CHILDREN'S MEDICAL CENTER","CHILDREN","1901 SOUTHWEST H. K. DODGEN LOOP","","TEMPLE","TX",76502,"BELL",31.0725498890001,-97.375465063,NA,NA,64,NA,NA,"None","None","HIFLD-BEDS","None","None",50776502,NA,NA,50776502
"4945","UCSF MEDICAL CENTER AT MOUNT ZION","GENERAL ACUTE CARE","1600 DIVISADERO STREET","","SAN FRANCISCO","CA",94115,"SAN FRANCISCO",37.7849197100001,-122.439147211,NA,NA,140,NA,NA,"None","None","HIFLD-BEDS","None","None",50794115,5818,NA,50794115
"4946","ABILENE REGIONAL MEDICAL CENTER","GENERAL ACUTE CARE","6250 US HIGHWAY 83-84 AT ANTILLEY ROAD","","ABILENE","TX",79606,"TAYLOR",32.3750692190001,-99.7437275509999,196,20,231,0.3037,NA,"DH-NUM_STAFFE","DH-NUM_ICU_BE","DH-NUM_LICENS","DH-BED_UTILIZ","None",5079606,3819,NA,5079606
"4947","UNIVERSITY OF COLORADO HEALTH AT MEMORIAL HOSPITAL NORTH","GENERAL ACUTE CARE","4050 BRIARGATE PKWY","","COLORADO SPRINGS","CO",80920,"EL PASO",38.966845945,-104.754732687,NA,NA,88,NA,NA,"None","None","HIFLD-BEDS","None","None",5080920,NA,NA,5080920
"4948","PRIMARY CHILDREN'S MEDICAL CENTER","CHILDREN","100 MARIO CAPECCHI DRIVE","","SALT LAKE CITY","UT",84113,"SALT LAKE",40.7712872640001,-111.838804691,289,94,340,0.66,0.64,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",5084113,3876,463301,5084113
"4949","KINGMAN REGIONAL MEDICAL CENTER","GENERAL ACUTE CARE","3269 STOCKTON HILL ROAD","","KINGMAN","AZ",86409,"MOHAVE",35.2200708440001,-114.036977425,196,20,235,0.55,0.55,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",5086409,173,30055,5086409
"4950","SAN JUAN REGIONAL MEDICAL CENTER","GENERAL ACUTE CARE","801 WEST MAPLE STREET","","FARMINGTON","NM",87401,"SAN JUAN",36.7238351880001,-108.216817849,184,10,194,0.54,0.79,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",5087401,2562,320005,5087401
"4951","SOUTH LYON MEDICAL CENTER","GENERAL ACUTE CARE","213 SOUTH WHITACRE","PO BOX 940","YERINGTON","NV",89447,"LYON",38.984096523,-119.167459243,14,NA,63,0.16,NA,"HCRIS-Total Staffed Beds","None","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",5089447,2433,291314,5089447
