name,services,type,treats,street,city_state,phone,insurance,hcps_count,hcps_names
InterCare Community Health Network - PULLMAN,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",5498 109th Ave,"Pullman, MI 49450",855-869-6900,Most private insurance and public insurance plans,2,"TERRENCE CONWAY,DESMONDA BRADY"
K-MED PHARMACY,Injection Provider,"Outpatient Facility, Retail Pharmacy",,316 N. Drake Rd,"Kalamazoo, MI 49009",269-888-4488,,1,Abe Dabaja
FAMILY HEALTH CENTER-ALCOTT,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",505 East Alcott Street,"Kalamazoo, MI 49001",269-349-2641,Most private insurance and public insurance plans,3,"DENNIS MEANS,ELISIA GREWE,DANIEL HODGE"
BRONSON METHODIST HOSPITAL,Injection Provider,Outpatient Facility,"Alcohol Dependence, Opioid Dependence",601 JOHN ST,"KALAMAZOO, MI 49007",269-431-6031,Most private insurance and public insurance plans,0,NA
FAMILY HEALTH CENTER- KALAMAZOO,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",117 West Paterson Street,"Kalamazoo, MI 49007",269-349-2641,Most private insurance and public insurance plans,3,"DENNIS MEANS,DANIEL HODGE,ELISIA GREWE"
FOUNDATIONS RECOVERY NETWORK - SKYWOOD,"Prescriber, Injection Provider, Counseling",Inpatient Facility,"Alcohol Dependence, Opioid Dependence",10499 North 48th Street,"Augusta, MI 49012",844-317-2573,"Limited health network, please contact office to learn more",2,"MICHAEL OKUMURA,ADAM MILLER"
GENOA HEALTHCARE,Injection Provider,"Outpatient Facility, Retail Pharmacy",,"1200 N. West Ave, Suite 500","Jackson, MI 49202",517-789-8579,,0,NA
InterCare Community Health Network - Holland,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",285 James Street,"Holland, MI 49424",855-869-6900,Most private insurance and public insurance plans,3,"LANA ZARLENGA,JON GIBSON,ROBERTA DISCHINGER-SMEDES"
BEYOND PRIMARY CARE,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",2500 Packard St 105,"Ann Arbor, MI 48104",734-395-2850,"Limited health network, please contact office to learn more",1,JEFF O'BOYLE
PACKARD HEALTH YPSILANTI,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",200 Arnet St Suite 150,"Ypsilanti, MI 48198",734-985-7200,Most private insurance and public insurance plans,2,"Sarah Bur,CARL CHRISTENSEN"
WAYNE WESTLAND PRIMARY URGENT CARE,,Outpatient Facility,"Alcohol Dependence, Opioid Dependence",34815 West Michigan Ave Suite 1,"wayne, MI 48184",734-713-7189,Most private insurance and public insurance plans,1,KHAWAR CHAUDHRY
TAYLOR DISCOUNT DRUGS,Injection Provider,Outpatient Facility,"Alcohol Dependence, Opioid Dependence",9320 Telegraph Rd,"Taylor, MI 48180",313-299-8810,Most private insurance and public insurance plans,1,Jennifer Olafioye
My Family Doctor,"Prescriber, Injection Provider, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",12100 Dix Toledo Road,"Southgate, MI 48195",734-282-5502,Most private insurance and public insurance plans,4,"FREDY MASONGSONG,MICHAEL GAMBEL,CHELSEA ELLIS,FAOUD MALIK"
GENOA HEALTHCARE PHARMACY - LANSING,Injection Provider,"Outpatient Facility, Retail Pharmacy",,6250 S. Cedar St. Suite 2,"Lansing, MI 48911",517-887-3539,,0,NA
Michigan Addiction Center PLLC - All Opiates Detox,"Prescriber, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","1848 Biddle Avenue, Suite 102","Wyandotte, MI 48192",800-458-8130,"Limited health network, please contact office to learn more",1,JOSEPH GEORGE
"JOSEPH GEORGE, MD OFFICE","Prescriber, Injection Provider, Opioid Detox to initiate VIVITROL",Outpatient Facility,Opioid Dependence,1848 Biddle Avenue,"Wyandotte, MI 48192",313-386-3200,Most private insurance and public insurance plans,1,JOSEPH GEORGE
OPTIMUM HEALTH CLINIC,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",3960 Patient Care Dr Suite 108,"Lansing, MI 48911",517-394-8589,Most private insurance and public insurance plans,1,JONATHAN ALTMAN
Lansing Institute of Behavioral Medicine,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",3475 Belle Chase Way,"Lansing, MI 48911",517-882-3732,"Limited health network, please contact office to learn more",3,"DAVID PICONE,ROY MELAND,ANGELA STATHOPOULOS"
ARBOR MEDICAL - LIVONIA,"Prescriber, Injection Provider, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",27550 Joy Road,"Livonia, MI 48150",734-261-3290,"Most private insurance, no public insurance plans",1,MICHAEL FOX
MEDCART,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",32131 INDUSTRIAL RD.,"Livonia, MI 48150",877-466-8028,,0,NA
Top Care Pharmacy,Injection Provider,Outpatient Facility,"Alcohol Dependence, Opioid Dependence",27493 Six Mile Rd,"Livonia, MI 48152",734-762-1500,Most private insurance and public insurance plans,1,MARIAM HAMADI
PATIENT 1st MEDICAL,,Outpatient Facility,"Alcohol Dependence, Opioid Dependence",6500 Schaefer Street,"Dearborn, MI 48126",313-584-7900,Most private insurance and public insurance plans,1,ABDULHASSAN SAAD
HIGHLAND MILFORD FAMILY CLINIC,Prescriber,Outpatient Facility,"Alcohol Dependence, Opioid Dependence","147 N MILFORD RD, STE 101","HIGHLAND, MI 48357",248-887-3900,Most private insurance and public insurance plans,2,"RAGHAD LEPLEY,jordana latocas"
POSITIVE RECOVERY SOLUTIONS - MOBILE (Mobile Unit),"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",MOBILE UNIT,"KENTON, OH 43326",614-604-8231,,0,NA
NEU URGENT CARE,"Prescriber, Injection Provider, Counseling",Outpatient Facility,,624 E. 9 Mile Rd,"Hazel Park, MI 48030",248-629-7497,Most private insurance and public insurance plans,1,MOHAMED GALAL SALEH
HOLGISTIC,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",720 E. 11 Mile Rd,"Royal Oak, MI 48067",248-733-5700,Most private insurance and public insurance plans,1,ERIC GREENBERG
ALLIANCE SPECIALTY PHARMACY LLC,"Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",25301 Van Dyke Ave,"Center Line, MI 48015",248-230-8044,Most private insurance and public insurance plans,1,Pritesh Ray
CITY MEDICAL - MADISON HEIGHTS,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",30581 STEPHENSON HIGHWAY,"MADISON HEIGHTS, MI 48071",248-589-1770,Most private insurance and public insurance plans,1,THOMAS PINSON
"ALOK SHUKLA, MD OFFICE","Prescriber, Injection Provider",Outpatient Facility,Opioid Dependence,25779 Kelly Rd,"Roseville, MI 48066",586-777-7772,Most private insurance and public insurance plans,1,ALOK SHUKLA
SHENANDOAH CLINIC,Injection Provider,Outpatient Facility,"Alcohol Dependence, Opioid Dependence","909 West Maple Road, Suite 100","Clawson, MI 48017",248-435-2028,"Most private insurance, no public insurance plans",1,NIDHI SHISHU
STERLING MEDICAL CENTER,,Outpatient Facility,"Alcohol Dependence, Opioid Dependence",13409 E 14 Mile Rd,"Sterling Heights, MI 48312",586-977-3900,Most private insurance and public insurance plans,1,ROGER YIM
HONOR COMMUNITY HEALTH,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",461 W HURON ST. Suite 107,"PONTIAC, MI 48341",248-724-7600,Most private insurance and public insurance plans,1,FAISAL SHAREEFUDDIN
WHITE LAKE FAMILY MEDICINE,"Prescriber, Injection Provider, Opioid Detox to initiate VIVITROL",Outpatient Facility,Alcohol Dependence,9178 highland rd,"white lake, MI 48386",248-698-1999,Most private insurance and public insurance plans,3,"DAVID LESZKOWITZ,CHAKANETSA CHIPAWE,ASHLEY ZIEBARTH"
BADDIGAM'S CLINIC,"Prescriber, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",43211 Dalcoma Drive,"Clinton Township, MI 48038",586-263-6812,Most private insurance and public insurance plans,2,"BASIVI BADDIGAM,PRAMEELA BADDIGAM"
NORTH OAKLAND INTERNAL MEDICINE,"Prescriber, Injection Provider",Outpatient Facility,,"3100 Cross Creek Parkway, Suite 220","Auburn Hills, MI 48326",248-377-0600,Most private insurance and public insurance plans,1,GREGORY STEVENS
Rochester Center For Behavioral Medicine,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",441 S LIVERNOIS RD STE 100,"ROCHESTER, MI 48307",248-608-8800,Most private insurance and public insurance plans,1,ALIYA PASIK
BALD MOUNTAIN BEHAVIORAL MEDICINE,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","1375 South Lapeer Road, Suite 203","Lake Orion, MI 48360",248-693-4000,"Limited health network, please contact office to learn more",2,"SUSAN WHITNEY,JOHN KITZMILLER"
North Point Medical Center,"Prescriber, Injection Provider, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",9838 Dixie Highway,"Fair Haven, MI 48023",586-725-9611,Most private insurance and public insurance plans,1,BARRY GROSS
POSITIVE RECOVERY SOLUTIONS - MOBILE (Mobile Unit),"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",MOBILE UNIT,"BUTLER, OH 44822",614-604-8231,,0,NA
ST. CLAIR COUNTY COMMUNITY MENTAL HEALTH - MARINE CITY,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",135 BROADWAY,"Marine City, MI 48039",810-765-5010,Most private insurance and public insurance plans,1,SARAH INGLES
POSITIVE RECOVERY SOLUTIONS - MOBILE (Mobile Unit),"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",MOBILE UNIT,"FREEDOM, PA 15042",412-660-7064,,0,NA
ANDREWS INSTITUTE FOR ADDICTION TREATMENT,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",4125 W Ridge Rd.,"Erie, PA 16506",814-616-0075,No Insurance accepted,1,EUGENIA ZAWADZKI
UPMC WESTERN BEHAVIORAL HEALTH AT SAFE HARBOR,"Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1330 EAST 26TH ST,"ERIE, PA 16508",814-451-2245,Most private insurance and public insurance plans,2,"JOHN ALMQUIST,ANTONIO SIMORA"
LAKE ERIE BEHAVIORAL HEALTH,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",3216 State Street,"Erie, PA 16508",814-454-3192,Most private insurance and public insurance plans,1,SHERIFIA HERON
Stairways Drug & Alcohol,"Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",2911 State Street,"Erie, PA 16508",814-878-3667,,1,SHERYL KRIDLER
HOUSE OF HEALING - RESIDENTIAL FOR PREGNANT WOMEN AND WOMEN WITH CHILDREN,,Inpatient Facility,"Alcohol Dependence, Opioid Dependence",146 West 25th Street,"Erie, PA 16502",814-315-6671,"Limited health network, please contact office to learn more",1,MICHAEL ANTOON
PYRAMID HEALTHCARE - ERIE,"Prescriber, Injection Provider, Counseling","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence",2409 State Street 1st FL Suite C,"Erie, PA 16503",814-456-2203,Most private insurance and public insurance plans,1,JOSEPH LEONE
ESPER TREATMENT CENTER,"Prescriber, Injection Provider, Counseling",Outpatient Facility,Opioid Dependence,25 West 18th Street,"Erie, PA 16501",814-459-0817,"Most public insurance, no private insurance plans",1,NICOLE LABOR
Bayside Family Medicine,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",510 Cranberry St Ste. 200,"Erie, PA 16507",814-877-5274,Most private insurance and public insurance plans,1,PAMELA BECK
Crossroads Treatment Centers- ERIE,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1611 PEACH ST STE 315,"ERIE, PA 16501",724-591-5236,Most private insurance and public insurance plans,1,FRANK KUNKEL
New Directions - Erie,"Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",306 West 11th Street,"Erie, PA 16501",814-240-6216,Most private insurance and public insurance plans,2,"MARK VANDYKE,KARA BENNETT"
"GAUDENZIA ERIE, INC. OUTPATIENT SERVICES","Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",141 West 11th Street,"Erie, PA 16501",814-459-6304,"Limited health network, please contact office to learn more",0,NA
COMMUNITY HOUSE HALFWAY HOUSE FOR WOMEN AND CHILDREN,"Injection Provider, Counseling",Inpatient Facility,"Alcohol Dependence, Opioid Dependence",521 West 7th Street,"Erie, PA 16502",814-459-5853,"Most public insurance, no private insurance plans",1,ANTONIO SIMORA
DR. DANIEL SNOW HALFWAY HOUSE FOR MEN,"Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",361 West 5th Street,"Erie, PA 16507",814-456-5758,"Limited health network, please contact office to learn more",1,ANTONIO SIMORA
GAUDENZIA CROSSROADS,"Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",414 West 5th Street,"Erie, PA 16507",814-459-4775,"Limited health network, please contact office to learn more",1,ANTONIO SIMORA
CHAUTAUQUA COUNTY MENTAL HYGIENE - JAMESTOWN,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",200 E 3RD ST. 5th FL.,"JAMESTOWN, NY 14701",716-661-8330,Most private insurance and public insurance plans,2,"ALICIA SNOW,SCOTT CUNNINGHAM"
TLC Health Network - CASSADAGA CHEMICAL DEPENDENCY CLINIC,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",33 North Main Street,"Cassadaga, NY 14718",716-595-3355,Most private insurance and public insurance plans,1,DAVID HALLASEY-ROBERTS
CHAUTAUQUA COUNTY MENTAL HYGIENE - DUNKIRK,"Prescriber, Counseling","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence",319 CENTRAL AVE,"DUNKIRK, NY 14048",716-363-3550,Most private insurance and public insurance plans,1,SCOTT CUNNINGHAM
POSITIVE RECOVERY SOLUTIONS - MOBILE (Mobile Unit),"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",MOBILE UNIT,"ERNEST, PA 15739",412-660-7064,,0,NA
TLC Health Network - Derby,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",7020 Erie Road,"Derby, NY 14047",716-947-0316,Most private insurance and public insurance plans,1,DAVID HALLASEY-ROBERTS
BUFFALO MEDICAL GROUP,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",3900 North Buffalo Rd,"Orchard Park, NY 14127",716-656-4807,Most private insurance and public insurance plans,2,"JOHN ROWE,DARREN CAPARASO"
INSPIRED HEALTH GROUP,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","3671 SOUTHWESTERN BLVD, STE 101","ORCHARD PARK, NY 14127",716-662-7008,Most private insurance and public insurance plans,2,"ROBERT ERICKSON,DARREN HOLLAND"
POSITIVE RECOVERY SOLUTIONS - MOBILE (Mobile Unit),"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",MOBILE UNIT,"PENNSYLVANIA FURNACE, PA 16865",412-660-7064,,0,NA
POSITIVE RECOVERY SOLUTIONS - MOBILE (Mobile Unit),"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",MOBILE UNIT,"PILLOW, PA 17080",412-660-7064,,0,NA
POSITIVE RECOVERY SOLUTIONS - MOBILE (Mobile Unit),"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",MOBILE UNIT,"NEW HOPE, PA 18938",412-660-7064,,0,NA
ALBERTSONS,Injection Provider,"Outpatient Facility, Retail Pharmacy",,911 MAIN ST. NORTH,"Hailey, ID 83333",877-466-8028,,0,NA
ALBERTSONS,Injection Provider,"Outpatient Facility, Retail Pharmacy",,590 EAST 17TH ST,"Idaho Falls, ID 83404",877-466-8028,,0,NA
ALBERTSONS,Injection Provider,"Outpatient Facility, Retail Pharmacy",,1901 SOUTH 25TH EAST,"Ammon, ID 83406",877-466-8028,,0,NA
IDAHO DEPT OF HEALTH AND WELFARE REGION 7 IDAHO FALLS,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",150 SHOUP AVE Suite 17,"IDAHO FALLS, ID 83402",208-528-5700,"Limited health network, please contact office to learn more",2,"ROBERT SHUMWAY,TIMOTHY MCHUGH"
GENOA HEALTHCARE PHARMACY- AMMON,Injection Provider,"Outpatient Facility, Retail Pharmacy",,2705 E 17th Street Suite s5,"Ammon, ID 83406",208-932-1670,,0,NA
PEARL HEALTH CLINIC,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",2705 E 17TH ST,"AMMON, ID 83406",208-346-7500,Most private insurance and public insurance plans,2,"TYLER POND,STEPHEN DENAGY"
WYOMING RECOVERY,"Prescriber, Injection Provider, Opioid Detox to initiate VIVITROL","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence",231 South Wilson,"Casper, WY 82601",307-265-3791,Most private insurance and public insurance plans,2,"THOMAS RADOSEVICH,FRANK DELREAL"
SOUTHERN PLAINS BEHAVIORAL HEALTH,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",500 E 9TH STREET,"WINNER, SD 57580",605-842-1465,"Limited health network, please contact office to learn more",1,DIONE ROWE
ALAY HEALTH TEAM - HOMETOWN PHARMACY (CORNER DRUG) – DODGEVILLE,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",206 N Iowa Street,"Dodgeville, WI 53533",262-260-9000,Most private insurance and public insurance plans,0,NA
ALAY HEALTH TEAM - FAMILY PHARMACY – FITCHBURG,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",3050 Cahill Main Street,"Fitchburg, WI 53711",262-260-9000,Most private insurance and public insurance plans,0,NA
JOURNEY MENTAL HEALTH CENTER,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",49 KESSEL COURT,"MADISON, WI 53711",608-280-2510,Most private insurance and public insurance plans,1,JANTINA VONK
Access Community Health Center - Madison,"Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",2202 S. Park Street,"Madison, WI 53715",608-443-5480,Most private insurance and public insurance plans,1,KEVIN FEHR
CONNECTIONS COUNSELING,"Prescriber, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","5005 University Avenue, Suite 100","Madison, WI 53705",608-233-2100,"Limited health network, please contact office to learn more",1,TODD KAMMERZELT
HANNA MEDICAL CLINIC,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",5310 Valley Ridge Plaza,"Middleton, WI 53562",608-203-8022,Most private insurance and public insurance plans,1,NICKOLAS HANNA
SSM Health Dean Medical Group,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1821 S. Stoughton Road,"Madison, WI 53716",608-260-6450,Most private insurance and public insurance plans,1,REBECCA KELLUM
ACCESS COMMUNITY HEALTH CENTER - William T Evjue,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",3434 E. Washington Ave.,"Madison, WI 53704",608-443-5480,Most private insurance and public insurance plans,1,WALKER SHAPIRO
PRAIRIE CLINIC SAUK CITY,Prescriber,Outpatient Facility,"Alcohol Dependence, Opioid Dependence",112 HELEN STREET,"SAUK CITY, WI 53583",608-643-3351,Most private insurance and public insurance plans,1,JOHN MC AULIFFE
St. Vincent de Paul Recovery (CARE) Program,"Prescriber, Injection Provider, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1906 North Street,"Prairie Du Sac, WI 53578",608-644-0504 Ext. 12,"Limited health network, please contact office to learn more",1,THOMAS SULLIVAN
HOMETOWN PHARMACY - SUN PRAIRIE,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",13 N Bird Street,"Sun Prairie, WI 53590",608-825-7530,,1,CARMEN KOSICEK
Ho-Chunk Nation Wellness Center - Baraboo,"Prescriber, Injection Provider, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",S 2845 White Eagle Road,"Baraboo, WI 53913",608-355-1240,"Most public insurance, no private insurance plans",3,"Ted Hall,KATIE CANNON,AMY DE LONG"
KELLY FAMILY MEDICAL PRACTICE,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",820 East Summit Avenue,"Oconomowoc, WI 53066",262-567-6927,Most private insurance and public insurance plans,1,JOHN KELLY
ROGERS MEMORIAL HOSPITAL - OCONOMOWOC,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",34700 VALLEY RD,"OCONOMOWOC, WI 53066",800-767-4411,Most private insurance and public insurance plans,1,UPTON THOMAS
INTEGRATED MEDICINE ASSOCIATES,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","20711 Watertown Road, Suite F","Waukesha, WI 53186",262-203-9790,Most private insurance and public insurance plans,1,MASROOR MUNIM
CLEANSLATE CENTERS - WAUKESHA,,Outpatient Facility,"Alcohol Dependence, Opioid Dependence",20611 Watertown Rd.,"Waukesha, WI 53186",262-901-4450,Most private insurance and public insurance plans,1,LAUREN TALATZKO
SPECTRUM HEALTHCARE - OAK CREEK,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",6416 South Howell Avenue,"Oak Creek, WI 53154",414-304-5713,Most private insurance and public insurance plans,2,"REGINA CAPELLI-SCHEIDT,SELAHATTIN KURTER"
HAYAT PHARMACY – 27TH STREET,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",4931 S 27TH ST,"MILWAUKEE, WI 53221",262-260-9000,Most private insurance and public insurance plans,0,NA
MSN CARE SC,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",9330 Lincoln Avenue,"West Allis, WI 53227",414-212-8699,Most private insurance and public insurance plans,1,VYACHESLAV DUBROVSKY
EVERGREEN PHARMACY,"Prescriber, Injection Provider, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",10101 W GREENFIELD AVE STE 130,"WEST ALLIS, WI 53214",262-260-9000,Most private insurance and public insurance plans,2,"Andy Hochradel,Daniel Cichy"
Red Oak Counseling Ltd.,"Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",12970 W. Bluemound Rd. 200,"Elm Grove, WI 53122",262-780-1020,Most private insurance and public insurance plans,0,NA
Horizon Healthcare - S Howell Ave,Prescriber,"Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence",4650 South Howell Avenue,"Milwaukee, WI 53207",414-376-5577,Most private insurance and public insurance plans,1,LATASHA PARISH
SPECTRUM HEALTH MEDICAL CLINIC,"Prescriber, Injection Provider",Outpatient Facility,,19265 WEST CAPITOL DRIVE SUITE L04,"BROOKFIELD, WI 53045",262-202-8312,Most private insurance and public insurance plans,1,JOSEPH LOCKE
HEALING CORNER - BROOKFIELD,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",19115 W CAPITOL DR STE 117,"BROOKFIELD, WI 53045",262-781-0240,Most private insurance and public insurance plans,1,SIAMAK ARASSI
AURORA PSYCHIATRIC HOSPITAL/THE DEWEY CENTER,Opioid Detox to initiate VIVITROL,Outpatient Facility,Opioid Dependence,1220 Dewey Avenue,"Milwaukee, WI 53213",414-454-6600,"Limited health network, please contact office to learn more",0,NA
CLINICA LATINA,"Prescriber, Injection Provider, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1238 SOUTH CESAR E CHAVEZ DRIVE,"MILWAUKEE, WI 53204",414-645-6665,Most private insurance and public insurance plans,3,"NEDAL MEJALLI,LEONARDO APONTE,PAMELA POWELL"
WEST GROVE CLINIC - MILWAUKEE,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",10012 W CAPITOL DR STE 101,"MILWAUKEE, WI 53222",414-810-4844,Most private insurance and public insurance plans,1,SELAHATTIN KURTER
HORIZON HEALTHCARE - W BURLEIGH ST,"Prescriber, Injection Provider","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence",5408 West Burleigh Street,"Milwaukee, WI 53210",414-362-8147,Most private insurance and public insurance plans,1,LATASHA PARISH
CLEANSLATE CENTERS - GLENDALE,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",377 W. River Woods Pkwy Suite 201,"Glendale, WI 53212",414-323-6880,Most private insurance and public insurance plans,1,GREG KAFTAN
PROVIDENCE FAMILY MEDICAL CLINIC,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",2500 West Silver Spring Drive,"Glendale, WI 53209",414-800-7171,Most private insurance and public insurance plans,1,ADEDAPO OKUSANYA
ALAY HEALTH TEAM - HOMECARE PHARMACY – BEAVER DAM,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",609 N. Spring Street,"Beaver Dam, WI 53916",262-260-9000,Most private insurance and public insurance plans,0,NA
HOMETOWN PHARMACY-PORTAGE,"Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",140 E Cook St,"Portage, WI 53901",608-742-3545,,1,Larry Crowely
ALAY HEALTH TEAM - WELLTOPIA PHARMACY,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",136 N. Main Street,"Thiensville, WI 53092",262-260-9000,Most private insurance and public insurance plans,0,NA
"DAVIS MEDICAL CLINIC, SC","Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1516 W. Mequon Rd. Suite 103,"Mequon, WI 53092",262-242-0700,Most private insurance and public insurance plans,1,AARON ROSENBERG
"For Your Health- Julie Chicks, MD Office","Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1990 Wisconsin Avenue,"Grafton, WI 53024",262-377-2900,Most private insurance and public insurance plans,1,JULIE CHICKS
